temperature,pressure,humidity,red,green,blue,clear,yaw,pitch,roll,magnetometer_x,magnetometer_y,magnetometer_z,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,datetime,iss_latitude,iss_longitude,iss_altitude_km,speed
31.293102264404297,1020.126708984375,32.9232063293457,0,0,0,0,8.566736591958167,329.76653305405915,66.188487736953,11.599960327148438,0.46034136414527893,1.7595553398132324,0.019153228029608727,0.028892317786812782,0.01096635777503252,-0.030754830688238144,-0.01991415023803711,0.005802486091852188,2026-04-21 20:03:10.137756,38.73156482369019,-150.8464589034741,426.00218273769315,7.657947152186705
31.382003784179688,1020.12353515625,32.736572265625,0,0,0,0,7.0702075669757,328.62217583975854,64.25561933392025,23.81862449645996,0.7503377199172974,3.5468368530273438,0.019638117402791977,0.027192767709493637,0.010722661390900612,-0.026730593293905258,-0.017766736447811127,0.005691979080438614,2026-04-21 20:03:11.888479,38.65286741829226,-150.72389998887297,426.01925820658835,7.6579424961291
31.310882568359375,1020.119140625,32.510162353515625,0,0,0,0,5.508552688257161,327.3598373528297,62.29698745733823,29.178659439086914,0.8988837003707886,3.8364827632904053,0.018425889313220978,0.027921147644519806,0.010722661390900612,-0.024067804217338562,-0.017497703433036804,0.007095174863934517,2026-04-21 20:03:13.800440,38.574023085579704,-150.60162711488474,426.03634204283026,7.657937914555252
31.293102264404297,1020.129638671875,32.70291519165039,0,0,0,0,4.336394896487301,326.16709166335414,61.00368430780715,31.106359481811523,0.863727331161499,4.672467231750488,0.018668334931135178,0.029377900063991547,0.01364702358841896,-0.02214130386710167,-0.01784706860780716,0.008176662027835846,2026-04-21 20:03:15.545220,38.49503254824099,-150.4796393782315,426.0534340933882,7.657933341114415
31.310882568359375,1020.11083984375,32.56217575073242,0,0,0,0,3.4599159938872917,325.04688599795867,59.87024173580021,31.77090835571289,1.1139333248138428,4.799368381500244,0.020123012363910675,0.028649523854255676,0.009991570375859737,-0.02360854297876358,-0.013483487069606781,0.003801552578806877,2026-04-21 20:03:17.295591,38.41589652607436,-150.3579358735499,426.0705342051042,7.65792877539083
31.20420265197754,1020.1328125,32.259273529052734,0,0,0,0,2.4478868645665024,323.83085277850796,58.96574027458293,32.21889114379883,1.148925542831421,4.337027549743652,0.01648632250726223,0.029377900063991547,0.009504176676273346,-0.021819811314344406,-0.016104228794574738,0.006446508690714836,2026-04-21 20:03:19.166335,38.37627418232829,-150.29719042471442,426.0790872359994,7.657926570638874
31.27532386779785,1020.12890625,32.27151107788086,0,0,0,0,1.8084183009302863,323.1214932369725,58.218906900166225,32.363956451416016,0.49270468950271606,4.434224605560303,0.019880564883351326,0.02840672992169857,0.011697448790073395,-0.021610550582408905,-0.011829487979412079,0.005123034119606018,2026-04-21 20:03:20.911859,38.29692127622848,-150.17591156601202,426.09619915202165,7.65792194160107
31.27532386779785,1020.11767578125,32.690677642822266,0,0,0,0,1.1092267766348904,322.7346381525722,57.89316151826998,32.432376861572266,0.7735386490821838,4.73443603515625,0.01769855059683323,0.02840672992169857,0.012672236189246178,-0.02005801349878311,-0.012771658599376678,0.006067480891942978,2026-04-21 20:03:22.654991,38.21742467217917,-150.05491466716347,426.11331874580173,7.657917395308187
31.257543563842773,1020.12109375,32.39389419555664,0,0,0,0,0.5566224777896339,322.21391477553414,56.98721205694866,32.39099884033203,1.0407872200012207,5.16109561920166,0.017940998077392578,0.02913510985672474,0.012915932573378086,-0.017262641340494156,-0.010097935795783997,0.00510304793715477,2026-04-21 20:03:24.535055,38.137785079891714,-149.93419881604234,426.13044586378055,7.657912856630944
31.257543563842773,1020.126953125,32.60500717163086,0,0,0,0,0.3367304871961707,321.75728247857296,56.69705196062817,32.10319900512695,0.8842840194702148,5.157477378845215,0.018910780549049377,0.02986348792910576,0.013890719972550869,-0.015821252018213272,-0.007820196449756622,0.003902968019247055,2026-04-21 20:03:26.276479,38.05800320620631,-149.81376309875793,426.1475803522999,7.657908325194399
