temperature,pressure,humidity,red,green,blue,clear,yaw,pitch,roll,magnetometer_x,magnetometer_y,magnetometer_z,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,datetime,iss_latitude,iss_longitude,iss_altitude_km,speed,photo_link,location
31.382003784179688,1022.35400390625,35.496334075927734,0,0,0,0,319.46786112539263,327.0688508036196,77.82484196928277,12.379622459411621,-2.6219661235809326,-12.085366249084473,0.018668334931135178,0.031077450141310692,0.010722661390900612,0.009405722841620445,0.063807412981987,-0.013715831562876701,2026-04-30 16:32:09.486692,-22.633457384088285,-92.30268795987799,434.3369138927683,7.650944151699878,Photo1.jpg,Unknown
31.34644317626953,1022.34814453125,35.56058883666992,0,0,0,0,326.23942678175916,330.26227159911326,75.34139884744447,25.278738021850586,-5.373504638671875,-24.482826232910156,0.019638117402791977,0.0276783537119627,0.006336118094623089,0.01157463900744915,0.06142640858888626,-0.011861843056976795,2026-04-30 16:32:11.230012,-22.729290068816603,-92.21730630347997,434.3407295272391,7.65092693020023,,
31.453125,1022.359375,35.48103713989258,0,0,0,0,332.7075988502883,332.8500339076925,73.10598038493684,30.648557662963867,-6.9598259925842285,-29.059972763061523,0.018910780549049377,0.028649523854255676,0.0075546023435890675,0.010314727202057838,0.05510224774479866,-0.009947266429662704,2026-04-30 16:32:13.158362,-22.77718522037448,-92.17456680530489,434.3426193603109,7.650915237591296,,
31.382003784179688,1022.36279296875,35.64013671875,0,0,0,0,337.2826525092069,335.1003012014557,71.92916611170033,32.69863510131836,-7.067215442657471,-31.3692684173584,0.019638117402791977,0.030106279999017715,0.007798299193382263,0.01021941751241684,0.05230644345283508,-0.011672542430460453,2026-04-30 16:32:14.902603,-22.87293293275425,-92.08899002093432,434.34636308256904,7.6509011327539564,,
31.382003784179688,1022.36328125,35.780879974365234,0,0,0,0,341.2768054094051,336.95420407994663,70.67189221004107,33.381126403808594,-7.353585720062256,-32.31623077392578,0.019395673647522926,0.028892317786812782,0.007798299193382263,0.006029879674315453,0.04847848787903786,-0.010730825364589691,2026-04-30 16:32:16.654653,-22.96862357771626,-92.00328225381541,434.3500589125215,7.6508839581362915,,
31.36422348022461,1022.364013671875,35.747222900390625,0,0,0,0,344.8282817966637,339.08068273273983,69.66169357141784,33.85118103027344,-7.400157451629639,-32.98029327392578,0.015031646937131882,0.02840672992169857,0.00682351179420948,0.008863124996423721,0.04613713175058365,-0.006818829104304314,2026-04-30 16:32:18.549853,-23.064256818396835,-91.91744278386943,434.35370688997864,7.650866802560186,,
31.488685607910156,1022.347900390625,35.51469421386719,0,0,0,0,347.5117290790992,340.76234873093057,68.97620212593702,34.083091735839844,-7.526813507080078,-32.825504302978516,0.018183445557951927,0.02840672992169857,0.010722661390900612,0.005047908052802086,0.04154779762029648,-0.008970832452178001,2026-04-30 16:32:20.302792,-23.159832316627085,-91.83147088919195,434.3573070551356,7.65084966623583,,
31.36422348022461,1022.359619140625,35.61872100830078,0,0,0,0,349.4261149902379,342.20939773113133,68.63411210135693,33.970577239990234,-7.385234832763672,-32.23023223876953,0.01745610684156418,0.029377900063991547,0.010478964075446129,0.007561199367046356,0.042618926614522934,-0.008342744782567024,2026-04-30 16:32:22.060343,-23.207598306287693,-91.78843505647615,434.35908922078033,7.650838038778261,Photo9.jpg,Unknown
31.417564392089844,1022.345703125,35.61260223388672,0,0,0,0,351.18276451268434,343.654793825553,68.1874382202056,34.07755661010742,-7.230985641479492,-32.49811553955078,0.017940998077392578,0.02694997750222683,0.009504176676273346,0.007380152121186256,0.03785223886370659,-0.007791072130203247,2026-04-30 16:32:23.942414,-23.30308655390256,-91.70226316710203,434.3626177437354,7.650823998942663,,
31.382003784179688,1022.34814453125,35.48715591430664,0,0,0,0,352.5888818967365,344.3435176580585,67.66447112602523,33.95570373535156,-7.3372907638549805,-32.438575744628906,0.01697121374309063,0.030106279999017715,0.012428538873791695,0.0093028973788023,0.03322405740618706,-0.007314596325159073,2026-04-30 16:32:25.691396,-23.398516207880665,-91.61595704018839,434.3660985566212,7.650806912194765,,
31.453125,1022.33447265625,35.496334075927734,0,0,0,0,353.3797900549805,344.9041515379642,67.56906021350933,33.871891021728516,-7.4690022468566895,-32.27559280395508,0.01721366122364998,0.0276783537119627,0.009260480292141438,0.004067039117217064,0.03511065989732742,-0.00567866675555706,2026-04-30 16:32:27.439169,-23.493886925417534,-91.52951594738877,434.3695317010179,7.650789845577118,,
31.506465911865234,1022.339599609375,35.52387237548828,0,0,0,0,354.14183682199973,345.54633616901253,67.29596192973554,33.801719665527344,-7.512670040130615,-32.99666976928711,0.019395673647522926,0.03180582821369171,0.005848724395036697,0.005532499402761459,0.03075598180294037,-0.007329117506742477,2026-04-30 16:32:29.308039,-23.589198362364712,-91.44293915851097,434.3729172188914,7.650772799295559,,
31.399784088134766,1022.352783203125,35.64319610595703,0,0,0,0,354.2334621021682,345.75591198595794,67.61372965068122,34.11234664916992,-7.67964506149292,-33.052223205566406,0.017940998077392578,0.02913510985672474,0.008773086592555046,0.005200877785682678,0.031141027808189392,-0.007749415934085846,2026-04-30 16:32:31.070038,-23.636831742701307,-91.399599649346,434.37459213110014,7.650761239523138,,
31.310882568359375,1022.360595703125,35.73192596435547,0,0,0,0,354.4673478430301,346.2403670585032,67.12905942717711,33.82551193237305,-7.676456451416016,-32.57402038574219,0.019880564883351326,0.027192767709493637,0.009991570375859737,0.005520280450582504,0.02622067928314209,-0.006119471043348312,2026-04-30 16:32:32.821064,-23.732053610526222,-91.31281794317644,434.37790628872153,7.650747268493852,,
31.453125,1022.379638671875,34.985382080078125,0,0,0,0,354.50536595661083,346.3126927853981,67.3541414810857,33.598731994628906,-7.6724348068237305,-32.349700927734375,0.020365456119179726,0.029377900063991547,0.01096635777503252,0.0066106244921684265,0.025682471692562103,-0.0036560241132974625,2026-04-30 16:32:34.701639,-23.827215331454894,-91.22589870732298,434.38117292643074,7.650730274150702,,
31.470905303955078,1022.356689453125,35.496334075927734,0,0,0,0,354.38718874293085,346.43916056807,67.01673013608708,33.429161071777344,-7.666057586669922,-32.37670135498047,0.01575898379087448,0.030106279999017715,0.00511763384565711,0.0032625310122966766,0.024554550647735596,-0.005069032311439514,2026-04-30 16:32:36.443940,-23.922316556568965,-91.13884120508975,434.38439208755153,7.650713300901258,,
31.36422348022461,1022.369384765625,35.410667419433594,0,0,0,0,354.09869734720195,346.37107211978145,67.0370431186787,33.607791900634766,-7.111712455749512,-32.21208190917969,0.01697121374309063,0.027921147644519806,0.009991570375859737,0.003323901444673538,0.024455808103084564,-0.004230525344610214,2026-04-30 16:32:38.189742,-23.96984437378004,-91.09526037335804,434.38598387803904,7.650701796051385,Photo18.jpg,Unknown
